Size,Random,Reversed,AlmostSorted
500,393,339,320
600,459,389,357
700,644,578,582
800,672,558,542
900,784,690,619
1000,541,490,465
1100,643,573,593
1200,540,485,454
1300,868,778,705
1400,922,857,836
1500,1269,1150,1118
1600,1654,1477,1567
1700,1215,1045,994
1800,1266,1072,1025
1900,1150,1040,957
2000,1699,1428,1450
2100,1247,1134,1333
2200,1282,1178,1012
2300,1580,1663,1401
2400,1209,1084,1004
2500,1409,1284,1163
2600,1623,1431,1295
2700,1831,1739,1594
2800,2341,2029,2054
2900,2091,1993,2009
3000,2544,2246,2057
3100,2099,2085,1991
3200,2223,1995,2040
3300,2506,1942,1808
3400,2257,2032,1877
3500,2285,2109,2038
3600,2079,1974,2003
3700,3120,2712,2570
3800,2828,2112,1966
3900,2428,1988,2144
4000,2441,2076,1869
4100,2547,2122,2032
4200,2671,2363,2296
4300,2892,2583,2123
4400,2928,2637,2353
4500,3266,3311,2952
4600,3080,2419,2288
4700,2908,2719,2212
4800,3298,2642,2771
4900,2556,2555,2337
5000,2688,2454,2130
5100,3676,3211,2674
5200,3105,3093,2873
5300,3973,3865,4134
5400,3893,3255,3181
5500,4534,3820,3741
5600,4186,4221,4053
5700,5075,3948,3855
5800,4901,4669,4069
5900,4913,3643,3739
6000,5015,4466,3588
6100,4342,3909,3594
6200,5432,4877,4410
6300,5590,5388,3974
6400,5042,4251,3893
6500,4761,4874,3992
6600,4992,5361,5091
6700,5399,4094,4522
6800,5077,4216,3994
6900,6322,4675,4748
7000,5342,4126,3732
7100,6113,6130,4584
7200,4950,4250,4207
7300,5412,5140,5161
7400,5876,4891,4838
7500,5129,4783,3941
7600,4543,4773,3997
7700,6186,4271,4164
7800,5197,5085,3841
7900,4716,3998,3757
8000,4835,4696,4561
8100,6057,4501,4095
8200,5361,4607,4143
8300,5012,4087,4456
8400,5445,5041,4945
8500,4707,4194,3983
8600,5593,4955,4259
8700,5802,5465,4461
8800,5032,4620,4122
8900,5324,5058,4485
9000,5394,4830,4675
9100,6284,5730,4849
9200,5742,4642,4691
9300,5761,4739,4385
9400,6325,5227,4047
9500,5737,4497,3879
9600,6467,5036,4332
9700,6162,5337,4139
9800,5326,4927,4494
9900,5745,5286,4915
10000,6092,5169,5137
