Size,Random,Reversed,AlmostSorted
500,241,191,145
600,244,235,171
700,326,311,254
800,443,368,310
900,440,405,345
1000,539,482,369
1100,548,529,415
1200,502,437,359
1300,459,428,338
1400,825,752,680
1500,814,745,664
1600,620,572,508
1700,958,924,728
1800,833,743,643
1900,865,722,630
2000,734,670,585
2100,1104,1108,776
2200,867,786,561
2300,1188,1043,765
2400,991,913,584
2500,986,986,727
2600,1516,1347,1060
2700,1700,1611,1366
2800,1531,1794,1666
2900,1429,1297,1160
3000,1717,1524,1280
3100,1843,1603,1215
3200,2016,1796,1609
3300,1552,1215,1067
3400,1592,1248,1041
3500,2223,1957,1697
3600,2466,2217,2241
3700,2098,1696,1416
3800,1766,1727,1402
3900,1687,1447,1091
4000,1849,1700,1372
4100,1866,1797,1300
4200,1882,1700,1490
4300,1741,1472,1215
4400,1692,1678,1309
4500,2093,1700,1550
4600,2053,1769,1349
4700,1757,1556,1203
4800,1774,1733,1201
4900,1762,1772,1546
5000,2002,2001,1384
5100,2021,2005,1533
5200,2491,2315,1849
5300,2608,2419,2127
5400,3328,3157,3003
5500,3228,2964,3055
5600,2840,2513,2102
5700,3277,2900,2871
5800,2894,2578,2127
5900,3122,2847,2520
6000,3509,2886,2320
6100,3143,2825,2250
6200,3686,3240,2522
6300,3615,2787,2597
6400,4043,3070,2439
6500,3111,2980,2836
6600,3640,3022,2447
6700,3820,2915,2475
6800,3473,2893,2309
6900,3326,2837,2415
7000,3629,4087,3140
7100,3834,3331,2682
7200,4223,3544,3171
7300,3422,3187,2627
7400,4147,3652,3254
7500,4269,4019,3460
7600,3848,3545,2478
7700,3677,3338,3052
7800,4105,3716,2673
7900,5827,4906,4569
8000,6567,4657,4600
8100,4302,3888,3130
8200,3661,3263,2730
8300,4615,3875,2788
8400,3854,3531,3031
8500,4018,3812,2657
8600,4913,4213,3822
8700,4097,3653,2634
8800,4219,4130,2992
8900,4583,3962,3378
9000,4132,3920,3381
9100,5443,4938,3189
9200,4671,5273,3442
9300,4992,4098,3145
9400,5459,5247,3892
9500,5338,4474,3193
9600,4654,4126,3589
9700,7002,6176,4190
9800,4264,3797,2679
9900,4932,3883,3191
10000,4650,4067,3499
