Size,Random,Reversed,AlmostSorted
500,144,155,78
600,154,183,80
700,188,235,89
800,211,286,95
900,338,406,241
1000,299,346,179
1100,429,500,230
1200,336,453,179
1300,412,500,219
1400,465,565,226
1500,470,609,233
1600,512,677,300
1700,679,722,368
1800,822,809,492
1900,915,900,527
2000,696,793,395
2100,664,781,475
2200,637,718,356
2300,830,938,377
2400,1090,1150,669
2500,1281,1301,606
2600,1026,1360,494
2700,1201,1529,664
2800,1155,1222,641
2900,1096,1472,595
3000,1109,1274,521
3100,1093,1406,548
3200,1280,1479,530
3300,1420,1222,797
3400,1406,1377,839
3500,1464,1211,682
3600,1293,1196,680
3700,1256,1332,865
3800,1198,1392,784
3900,1320,1386,802
4000,1302,1347,840
4100,1937,1867,1192
4200,1609,1522,858
4300,1364,1515,786
4400,1378,1594,858
4500,1811,2014,1406
4600,2169,2436,1282
4700,2009,2227,1018
4800,1550,1910,832
4900,1654,2144,986
5000,2022,2425,1197
5100,1890,2378,1277
5200,1966,2038,1210
5300,1948,2305,902
5400,2196,2475,1118
5500,1774,2081,886
5600,2324,2885,1025
5700,2047,2272,888
5800,1982,2308,898
5900,2099,2378,911
6000,2271,2295,940
6100,2745,3506,1502
6200,2383,2800,1174
6300,2350,2868,1229
6400,2533,2509,1240
6500,2379,2616,1332
6600,2566,2762,1644
6700,3160,4901,2201
6800,4469,4221,2879
6900,4345,4159,2414
7000,4026,4028,2463
7100,3975,4099,2664
7200,3345,3643,2330
7300,3847,3954,2138
7400,3411,3249,1774
7500,3512,3505,1850
7600,2822,2903,1640
7700,3221,2907,1951
7800,3428,3724,1908
7900,4128,4115,2290
8000,4091,3571,2167
8100,3163,2882,2095
8200,3382,3460,2107
8300,3327,3480,1901
8400,4249,4072,2272
8500,3429,3360,1880
8600,3588,3539,1828
8700,3349,3637,1706
8800,3445,3819,1824
8900,3561,3801,1740
9000,3680,3608,1949
9100,3832,3651,1772
9200,3271,3475,2300
9300,3760,4620,1854
9400,4258,5110,2292
9500,3960,3843,1932
9600,3580,3904,1997
9700,4207,4121,1883
9800,4993,5644,2695
9900,4982,5442,2706
10000,4314,4771,2459
