Size,Random,Reversed,AlmostSorted
500,796,714,762
600,650,643,659
700,885,830,721
800,1116,968,894
900,1404,1712,1508
1000,1184,1052,1049
1100,2007,1806,1630
1200,1961,1692,1839
1300,1398,1298,1321
1400,3151,3035,3154
1500,3796,3179,3432
1600,3435,2869,2860
1700,2920,2416,2870
1800,2714,2322,2601
1900,2490,2435,2357
2000,2514,2145,2370
2100,2196,2174,2226
2200,3007,2504,3344
2300,2686,2685,2523
2400,2845,2557,2780
2500,2694,2595,2530
2600,2876,2720,2606
2700,5728,4070,4453
2800,9429,5819,8406
2900,26076,21570,14289
3000,11713,8565,9719
3100,6232,7381,7638
3200,7124,7685,6676
3300,7497,8078,8363
3400,6561,5274,5486
3500,5002,5856,4555
3600,4611,4920,4915
3700,5407,5114,5292
3800,5611,5154,5795
3900,5812,5360,5492
4000,6376,6049,5264
4100,5499,5527,5053
4200,7011,4756,4993
4300,4126,3675,3793
4400,4345,4192,4207
4500,4062,4257,4015
4600,7349,5658,5164
4700,5769,4950,4819
4800,5943,5256,4837
4900,5152,5175,5246
5000,4459,4378,3986
5100,4902,4432,4262
5200,5711,5212,5323
5300,6726,6718,6609
5400,7272,6362,6128
5500,5417,5533,5103
5600,5933,6225,5669
5700,7123,6417,7305
5800,6927,5786,6014
5900,6937,6495,5938
6000,7078,6235,6613
6100,7531,6761,6581
6200,7591,7644,6847
6300,7519,7412,7033
6400,7574,6911,6724
6500,8074,6931,7452
6600,7827,7347,7888
6700,7817,7977,8289
6800,7494,6465,6847
6900,7631,8082,8796
7000,8324,6633,7326
7100,7675,7334,7477
7200,7299,7929,7443
7300,8533,7127,7149
7400,7926,7014,8737
7500,7627,7270,8001
7600,8136,7931,7066
7700,8737,7009,7022
7800,8194,6925,6847
7900,9033,8887,8194
8000,9195,8453,8308
8100,7471,8556,7539
8200,9214,8797,8428
8300,9983,9238,9459
8400,11134,10679,10519
8500,9316,8027,7672
8600,8713,7240,7034
8700,9275,7199,7043
8800,7879,7563,7502
8900,10225,8390,8984
9000,8809,8933,7474
9100,10218,8286,8404
9200,9809,8239,8383
9300,9880,7461,7592
9400,10122,7011,7441
9500,8827,8739,9270
9600,8508,8129,7373
9700,8428,7589,9659
9800,9958,9595,9637
9900,9110,8017,7172
10000,8958,8610,8305
